id,year,locationabbr,locationdesc,data_value,low_confidence_limit,high_confidence_limit,sample_size,stratification,stratificationtype,variable
766058.0,2004.0,AL,Alabama,70.4,68.7,72.1,2449.0,Overall,Overall,exercise
766060.0,2004.0,AL,Alabama,73.3,70.5,76.1,886.0,Male,Gender,exercise
766061.0,2004.0,AL,Alabama,67.7,65.6,69.8,1563.0,Female,Gender,exercise
766064.0,2004.0,AL,Alabama,79.0,73.1,84.9,177.0,18-24,Age Group,exercise
766065.0,2004.0,AL,Alabama,74.8,70.4,79.2,397.0,25-34,Age Group,exercise
766066.0,2004.0,AL,Alabama,70.7,66.8,74.6,434.0,35-44,Age Group,exercise
766067.0,2004.0,AL,Alabama,68.9,65.1,72.7,502.0,45-54,Age Group,exercise
766068.0,2004.0,AL,Alabama,70.6,66.6,74.6,436.0,55-64,Age Group,exercise
766069.0,2004.0,AL,Alabama,60.3,56.6,64.0,503.0,65+,Age Group,exercise
767216.0,2004.0,AK,Alaska,79.4,77.2,81.6,2086.0,Overall,Overall,exercise
767218.0,2004.0,AK,Alaska,80.3,77.0,83.6,969.0,Male,Gender,exercise
767219.0,2004.0,AK,Alaska,78.4,75.4,81.4,1117.0,Female,Gender,exercise
767222.0,2004.0,AK,Alaska,83.8,76.7,90.9,191.0,18-24,Age Group,exercise
767223.0,2004.0,AK,Alaska,82.0,76.7,87.3,413.0,25-34,Age Group,exercise
767224.0,2004.0,AK,Alaska,82.1,77.7,86.5,469.0,35-44,Age Group,exercise
767225.0,2004.0,AK,Alaska,80.5,76.3,84.7,515.0,45-54,Age Group,exercise
767226.0,2004.0,AK,Alaska,74.5,68.6,80.4,318.0,55-64,Age Group,exercise
767227.0,2004.0,AK,Alaska,65.1,57.0,73.2,180.0,65+,Age Group,exercise
769448.0,2004.0,US,"All States, DC and Territories (median) **",77.2,,,52.0,Overall,Overall,exercise
769703.0,2004.0,UW,All States and DC (median) **,77.5,,,50.0,Overall,Overall,exercise
770141.0,2004.0,AZ,Arizona,75.8,73.3,78.3,3602.0,Overall,Overall,exercise
