geoName,year,NIH,abdominal,aerobic exercise,apnea,best workout,bike helmet,bike laws,bike locks,bike repair,bike sale,bodybuilding,calories,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,diet,dietary,dresses plus size,e-bike,ejercicios,endocrine,exercise,exercises,fitbit,fitness,fitness gym,food delivery near me,gastric,glucose,glycogen,gym,gym near me,healthy,how to exercise,how to lose weight,hyperglycemia,hypertension,iPod,icd 10 codes,inactivity,insanity workout,insulin,insulin syringes,ipod reset,jogging,ketoacidosis,malnutrition,meals,my fitness pal,nutrition,obese,obesity,pizza delivery,polyphagia,pre workout,prediabetes,quinoa gluten free,sclerosis,signs of diabetes,slim,sugar level,symptoms of congestive heart failure,symptoms of diabetes,symptoms of high blood sugar,t25 schedule,trainer,type 2,type 2 diabetes,unhealthy,visceral,weighing,weight loss,wellness,workout,yoga
Alabama,2004,8,67,43,62,35,18,0,0,22,38,59,70,84,75,21,0,36,69,73,87,0,87,33,10,0,45,52,78,78,0,65,39,0,100,81,26,50,0,58,24,37,34,70,47,0,40,0,67,0,81,48,24,20,51,0,60,54,71,34,43,0,0,0,85,20,63,19,0,39,0,0,77,26,38,28,20,31,79,41,78,28
Alaska,2004,2,100,0,42,38,0,0,0,0,47,74,81,46,66,0,25,51,77,39,0,0,87,26,39,0,0,84,62,81,0,47,41,0,53,51,68,61,0,67,51,47,40,58,55,0,0,0,23,0,0,41,0,0,77,0,59,49,47,33,0,0,0,0,72,0,49,0,0,45,0,0,65,13,37,60,59,46,65,33,75,44
Arizona,2004,5,69,25,37,10,8,47,39,10,26,56,74,61,71,9,14,27,51,56,34,29,70,28,8,34,24,39,64,66,0,100,79,0,52,80,16,68,0,65,20,31,15,50,61,0,18,0,47,74,48,55,11,21,58,0,69,53,49,61,0,0,8,0,61,9,47,15,0,18,0,0,80,30,23,31,27,16,72,33,76,72
Arkansas,2004,9,75,44,64,40,0,0,0,0,25,67,73,87,73,21,0,36,54,89,96,0,87,27,42,0,91,46,88,100,0,54,52,0,66,41,36,54,0,83,48,44,42,49,33,0,0,0,97,0,0,58,24,0,69,0,54,35,71,23,0,0,0,0,84,42,55,29,0,32,0,0,73,27,52,28,41,32,100,10,71,39
California,2004,9,56,16,35,13,11,58,37,26,29,52,77,63,59,5,10,25,48,36,17,16,59,31,11,16,30,45,63,61,0,94,66,0,32,64,23,73,0,70,33,32,15,44,83,0,24,0,42,27,55,51,7,21,58,0,65,39,48,50,6,2,2,8,56,7,55,12,11,21,10,0,69,34,36,32,16,24,50,32,66,87
Colorado,2004,8,63,27,41,9,17,45,41,22,33,55,78,67,55,12,15,15,57,38,26,21,71,41,7,0,58,51,74,75,0,89,36,0,36,62,20,68,0,67,15,30,18,49,69,0,52,0,44,0,34,55,10,29,75,0,72,40,49,41,18,8,15,0,73,9,63,15,0,17,0,0,69,22,25,20,35,13,65,32,77,83
Connecticut,2004,13,62,32,36,8,6,100,37,36,19,47,94,72,73,7,31,38,53,42,17,41,67,43,17,0,14,49,64,69,0,72,84,0,55,88,22,79,0,67,34,48,13,58,78,0,42,0,53,0,0,49,15,22,77,0,68,56,64,44,0,11,11,100,84,13,52,12,0,50,0,0,64,28,22,21,19,30,52,33,73,67
Delaware,2004,13,67,78,53,97,32,0,0,0,30,72,93,93,74,0,32,0,36,43,79,0,72,24,25,0,83,71,89,73,0,72,77,0,59,83,0,75,0,51,64,39,100,73,63,0,0,0,43,0,0,62,0,75,84,0,69,31,62,0,0,0,0,0,68,0,60,51,0,0,0,0,42,24,46,100,0,0,53,21,62,60
District of Columbia,2004,36,62,19,35,20,6,0,65,23,23,53,96,87,73,5,12,18,38,42,13,28,68,42,11,0,40,47,72,66,0,78,73,0,35,53,18,98,0,79,39,31,0,51,67,0,18,0,42,0,0,58,5,30,63,0,76,45,74,81,0,8,16,0,70,0,57,25,0,28,0,0,61,22,30,19,9,14,54,40,72,73
Florida,2004,7,74,20,38,14,12,50,10,17,23,63,68,76,67,6,15,21,43,50,26,20,76,24,9,13,67,51,61,76,0,71,75,0,47,77,25,77,0,72,42,44,21,55,52,0,31,0,48,30,19,53,9,28,75,0,58,44,50,42,8,3,3,0,59,9,58,13,29,28,16,0,73,30,30,19,13,23,60,37,84,47
Georgia,2004,9,70,20,43,17,14,41,14,21,25,57,72,72,65,8,7,21,51,55,29,23,75,31,15,18,20,54,71,73,0,78,79,0,51,60,14,68,0,62,25,38,21,52,59,0,23,0,52,39,29,55,13,30,69,0,65,43,55,39,0,13,4,0,63,10,58,12,38,28,21,0,73,23,25,28,22,29,66,34,87,48
